Name,Country,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Taylor Worth,Australia,21,174,60,M,Archery,Men's Individual,,,,
Md Emdadul Haque Milon,Bangladesh,19,174,60,M,Archery,Men's Individual,,,,
Yavor Vasilev Hristov,Bulgaria,36,178,88,M,Archery,Men's Individual,,,,
Rene Philippe Kouassi,C̫te d'Ivoire,32,190,77,M,Archery,Men's Individual,,,,
Crispin Duenas,Canada,26,170,81,M,Archery,Men's Individual,,,,
Daniel Felipe Pineda,Colombia,18,186,83,M,Archery,Men's Individual,,,,
Juan Carlos Stevens,Cuba,43,,,M,Archery,Men's Individual,,,,
Ahmed El-Nemr,Egypt,33,183,84,M,Archery,Men's Individual,,,,
Robert Elder,Fiji,31,193,115,M,Archery,Men's Individual,,,,
Camilo Mayr,Germany,21,178,74,M,Archery,Men's Individual,,,,
Kar Wai Calvin Lee,"Hong Kong, China",29,172,68,M,Archery,Men's Individual,,,,
Denis Gankin,Kazakhstan,22,183,68,M,Archery,Men's Individual,,,,
Jeff Henckels,Luxembourg,27,184,77,M,Archery,Men's Individual,,,,
Jantsan Gantugs,Mongolia,40,174,75,M,Archery,Men's Individual,,,,
Nay Myo Aung,Myanmar,26,178,71,M,Archery,Men's Individual,,,,
Rick van der Ven,Netherlands,21,181,71,M,Archery,Men's Individual,,,,
Baard Nesteng,Norway,33,,,M,Archery,Men's Individual,,,,
Mark Javier,Philippines,30,173,53,M,Archery,Men's Individual,,,,
Rafal Dobrowolski,Poland,28,180,80,M,Archery,Men's Individual,,,,
Dan Olaru,Republic of Moldova,15,175,70,M,Archery,Men's Individual,,,,
Emanuele Guidi,San Marino,42,175,80,M,Archery,Men's Individual,,,,
Klemen Strajhar,Slovenia,17,190,92,M,Archery,Men's Individual,,,,
Elias Cuesta,Spain,27,177,76,M,Archery,Men's Individual,,,,
Axel Muller,Switzerland,20,176,70,M,Archery,Men's Individual,,,,
Witthaya Thamwong,Thailand,24,180,82,M,Archery,Men's Individual,,,,
Elias Malave,Venezuela,22,179,72,M,Archery,Men's Individual,,,,
Gael Prevost,France,18,193,75,M,Archery,"Men's Individual, Men's Team",,,,
Romain Girouille,France,24,193,75,M,Archery,"Men's Individual, Men's Team",,,,
Thomas Faucheron,France,22,175,72,M,Archery,"Men's Individual, Men's Team",,,,
Alan Wills,Great Britain,31,179,84,M,Archery,"Men's Individual, Men's Team",,,,
Larry Godfrey,Great Britain,36,178,84,M,Archery,"Men's Individual, Men's Team",,,,
Simon Terry,Great Britain,38,180,100,M,Archery,"Men's Individual, Men's Team",,,,
Jayanta Talukdar,India,26,,,M,Archery,"Men's Individual, Men's Team",,,,
Rahul Banerjee,India,25,,,M,Archery,"Men's Individual, Men's Team",,,,
Marco Galiazzo,Italy,29,178,98,M,Archery,"Men's Individual, Men's Team",YES,0.33,,
Mauro Nespoli,Italy,24,181,85,M,Archery,"Men's Individual, Men's Team",YES,0.33,,
Michele Frangilli,Italy,36,181,110,M,Archery,"Men's Individual, Men's Team",YES,0.33,,
Hideki Kikuchi,Japan,26,182,80,M,Archery,"Men's Individual, Men's Team",,,,
Takaharu Furukawa,Japan,27,174,81,M,Archery,"Men's Individual, Men's Team",YES,,1,
Yu Ishizu,Japan,25,170,66,M,Archery,"Men's Individual, Men's Team",,,,
Chu Sian Cheng,Malaysia,26,182,94,M,Archery,"Men's Individual, Men's Team",,,,
Haziq Kamaruddin,Malaysia,19,178,85,M,Archery,"Men's Individual, Men's Team",,,,
Khairul Anuar Mohamad,Malaysia,20,171,70,M,Archery,"Men's Individual, Men's Team",,,,
Juan Rene Serrano,Mexico,28,178,87,M,Archery,"Men's Individual, Men's Team",,,,
Luis Alvarez,Mexico,21,174,90,M,Archery,"Men's Individual, Men's Team",,,,
Luis Eduardo Velez,Mexico,26,180,81,M,Archery,"Men's Individual, Men's Team",,,,
Xiaoxiang Dai,People's Republic of China,21,178,70,M,Archery,"Men's Individual, Men's Team",YES,,,1
Yu Xing,People's Republic of China,21,188,77,M,Archery,"Men's Individual, Men's Team",,,,
Zhaowu Liu,People's Republic of China,23,179,65,M,Archery,"Men's Individual, Men's Team",,,,
Bubmin Kim,Republic of Korea,21,187,96,M,Archery,"Men's Individual, Men's Team",YES,,,0.33
Dong Hyun Im,Republic of Korea,26,184,100,M,Archery,"Men's Individual, Men's Team",YES,,,0.33
Jin Hyek Oh,Republic of Korea,30,182,100,M,Archery,"Men's Individual, Men's Team",YES,1,,0.33
Cheng-Pang Wang,Taipei (Chinese Taipei),25,178,86,M,Archery,"Men's Individual, Men's Team",,,,
Cheng-Wei Kuo,Taipei (Chinese Taipei),28,178,99,M,Archery,"Men's Individual, Men's Team",,,,
Yu-Cheng Chen,Taipei (Chinese Taipei),19,180,72,M,Archery,"Men's Individual, Men's Team",,,,
Dmytro Hrachov,Ukraine,28,180,90,M,Archery,"Men's Individual, Men's Team",,,,
Markiyan Ivashko,Ukraine,33,183,100,M,Archery,"Men's Individual, Men's Team",,,,
Viktor Ruban,Ukraine,31,178,72,M,Archery,"Men's Individual, Men's Team",,,,
Brady Ellison,United States of America,23,180,86,M,Archery,"Men's Individual, Men's Team",,,0.33,
Jacob Wukie,United States of America,26,180,73,M,Archery,"Men's Individual, Men's Team",YES,,0.33,
Jake Kaminski,United States of America,23,208,71,M,Archery,"Men's Individual, Men's Team",YES,,0.33,
Elisa Barnard,Australia,19,171,57,F,Archery,Women's Individual,,,,
Sherab Zam,Bhutan,28,152,51,F,Archery,Women's Individual,,,,
Marie-Pier Beaudet,Canada,25,164,60,F,Archery,Women's Individual,,,,
Denisse van Lamoen,Chile,32,157,51,F,Archery,Women's Individual,,,,
Ana Maria Rendon,Colombia,26,160,63,F,Archery,Women's Individual,,,,
Un Sil Kwon,Democratic People's Republic  of Korea,28,160,52,F,Archery,Women's Individual,,,,
Nada Kamel,Egypt,21,162,66,F,Archery,Women's Individual,,,,
Reena Parnat,Estonia,18,167,54,F,Archery,Women's Individual,,,,
Berengere Schuh,France,28,163,54,F,Archery,Women's Individual,,,,
Kristine Esebua,Georgia,27,161,55,F,Archery,Women's Individual,,,,
Elena Richter,Germany,23,174,67,F,Archery,Women's Individual,,,,
Evangelia Psarra,Greece,38,172,63,F,Archery,Women's Individual,,,,
Rand Al-Mashhadani,Iraq,17,160,50,F,Archery,Women's Individual,,,,
Zahra Dehghanabnavi,Islamic Republic of Iran,24,156,57,F,Archery,Women's Individual,,,,
Anastassiya Bannova,Kazakhstan,23,168,56,F,Archery,Women's Individual,,,,
Nurul Syafiqah Hashim,Malaysia,18,170,55,F,Archery,Women's Individual,,,,
Bishindee Urantungalag,Mongolia,35,175,74,F,Archery,Women's Individual,,,,
Rachelle Anne Cabral,Philippines,27,170,74,F,Archery,Women's Individual,,,,
Natalia Lesniak,Poland,21,165,74,F,Archery,Women's Individual,,,,
Maureen Tuimalealiifano,Samoa,41,175,70,F,Archery,Women's Individual,,,,
Karen Hultzer,South Africa,46,175,95,F,Archery,Women's Individual,,,,
Iria Grandal,Spain,21,161,55,F,Archery,Women's Individual,,,,
Christine Bjerendal,Sweden,25,161,66,F,Archery,Women's Individual,,,,
Nathalie Dielen,Switzerland,46,163,73,F,Archery,Women's Individual,,,,
Begul Lokluoglu,Turkey,23,161,58,F,Archery,Women's Individual,,,,
Leidys Brito,Venezuela,28,169,77,F,Archery,Women's Individual,,,,
Carina Christiansen,Denmark,21,171,67,F,Archery,"Women's Individual, Women's Team",,,,
Louise Laursen,Denmark,24,170,60,F,Archery,"Women's Individual, Women's Team",,,,
Maja Jager,Denmark,20,168,55,F,Archery,"Women's Individual, Women's Team",,,,
Alison Williamson,Great Britain,40,175,75,F,Archery,"Women's Individual, Women's Team",,,,
Amy Oliver,Great Britain,25,173,62,F,Archery,"Women's Individual, Women's Team",,,,
Naomi Folkard,Great Britain,28,169,67,F,Archery,"Women's Individual, Women's Team",,,,
Bombayla Devi Laishram,India,27,,,F,Archery,"Women's Individual, Women's Team",,,,
Chekrovolu Swuro,India,29,,,F,Archery,"Women's Individual, Women's Team",,,,
Deepika Kumari,India,18,,,F,Archery,"Women's Individual, Women's Team",,,,
Natalia Valeeva,Italy,42,168,63,F,Archery,"Women's Individual, Women's Team",,,,
Pia Lionetti,Italy,25,161,58,F,Archery,"Women's Individual, Women's Team",,,,
Kaori Kawanaka,Japan,21,159,50,F,Archery,"Women's Individual, Women's Team",YES,,,0.33
Miki Kanie,Japan,23,162,64,F,Archery,"Women's Individual, Women's Team",YES,,,0.33
Ren Hayakawa,Japan,24,179,65,F,Archery,"Women's Individual, Women's Team",YES,,,0.33
Aida Roman,Mexico,24,168,61,F,Archery,"Women's Individual, Women's Team",YES,,1,
Alejandra Valencia,Mexico,17,176,74,F,Archery,"Women's Individual, Women's Team",,,,
Mariana Avitia,Mexico,18,164,61,F,Archery,"Women's Individual, Women's Team",YES,,,1
Jing Xu,People's Republic of China,21,169,70,F,Archery,"Women's Individual, Women's Team",YES,,0.33,
Ming Cheng,People's Republic of China,26,165,65,F,Archery,"Women's Individual, Women's Team",YES,,0.33,
Yuting Fang,People's Republic of China,22,170,62,F,Archery,"Women's Individual, Women's Team",YES,,0.33,
Bo Bae Ki,Republic of Korea,24,168,55,F,Archery,"Women's Individual, Women's Team",YES,1.33,,
Hyeonju Choi,Republic of Korea,27,172,65,F,Archery,"Women's Individual, Women's Team",YES,0.33,,
Sung Jin Lee,Republic of Korea,27,165,60,F,Archery,"Women's Individual, Women's Team",YES,0.33,,
Inna Stepanova,Russian Federation,22,175,62,F,Archery,"Women's Individual, Women's Team",,,,
Ksenia Perova,Russian Federation,23,170,74,F,Archery,"Women's Individual, Women's Team",,,,
Chia-En Lin,Taipei (Chinese Taipei),19,166,55,F,Archery,"Women's Individual, Women's Team",,,,
Chien-Ying Le,Taipei (Chinese Taipei),22,165,65,F,Archery,"Women's Individual, Women's Team",,,,
Ya-Ting Tan,Taipei (Chinese Taipei),18,159,56,F,Archery,"Women's Individual, Women's Team",,,,
Kateryna Palekha,Ukraine,31,168,63,F,Archery,"Women's Individual, Women's Team",,,,
Lidiia Sichenikova,Ukraine,19,183,68,F,Archery,"Women's Individual, Women's Team",,,,
Tetyana Dorokhova,Ukraine,27,164,64,F,Archery,"Women's Individual, Women's Team",,,,
Jennifer Nichols,United States of America,28,183,64,F,Archery,"Women's Individual, Women's Team",,,,
Khatuna Lorig,United States of America,38,170,64,F,Archery,"Women's Individual, Women's Team",,,,
Miranda Leek,United States of America,19,163,75,F,Archery,"Women's Individual, Women's Team",,,,
Ben St Lawrence,Australia,30,180,85,M,Athletics,"Men's 10,000m",,,,
Ali Hasan Mahboob,Bahrain,30,175,70,M,Athletics,"Men's 10,000m",,,,
Mohammed Ahmed,Canada,21,190,60,M,Athletics,"Men's 10,000m",,,,
Bayron Piedra,Ecuador,29,176,62,M,Athletics,"Men's 10,000m",,,,
Nguse Tesfaldet,Eritrea,25,180,56,M,Athletics,"Men's 10,000m",,,,
Zersenay Tadese,Eritrea,30,160,54,M,Athletics,"Men's 10,000m",,,,
Gebregziabher Gebremariam,Ethiopia,27,183,60,M,Athletics,"Men's 10,000m",,,,
Tariku Bekele,Ethiopia,25,168,62,M,Athletics,"Men's 10,000m",YES,,,1
Christopher Thompson,Great Britain,31,178,67,M,Athletics,"Men's 10,000m",,,,
Bedan Karoki Muchiri,Kenya,21,167,65,M,Athletics,"Men's 10,000m",,,,
Moses Ndiema Masai,Kenya,26,172,60,M,Athletics,"Men's 10,000m",,,,
Wilson Kiprop,Kenya,25,,,M,Athletics,"Men's 10,000m",,,,
Diego Estrada,Mexico,22,180,61,M,Athletics,"Men's 10,000m",,,,
Robert Kajuga,Rwanda,27,158,61,M,Athletics,"Men's 10,000m",,,,
Ayad Lamdassem,Spain,30,170,52,M,Athletics,"Men's 10,000m",,,,
Thomas Ayeko,Uganda,20,168,58,M,Athletics,"Men's 10,000m",,,,
Mykola Labovskyy,Ukraine,29,175,70,M,Athletics,"Men's 10,000m",,,,
Dathan Ritzenhein,United States of America,29,173,55,M,Athletics,"Men's 10,000m",,,,
Matthew Tegenkamp,United States of America,30,188,68,M,Athletics,"Men's 10,000m",,,,
Massoud Azizi,Afghanistan,23,175,63,M,Athletics,Men's 100m,,,,
Elama Fa'atonu,American Samoa,18,175,82,M,Athletics,Men's 100m,,,,
Derrick Atkins,Bahamas,28,185,88,M,Athletics,Men's 100m,,,,
Warren Fraser,Bahamas,21,172,73,M,Athletics,Men's 100m,,,,
Mohan Khan,Bangladesh,20,170,56,M,Athletics,Men's 100m,,,,
Ramon Gittens,Barbados,25,180,77,M,Athletics,Men's 100m,,,,
Artur Bruno Rojas,Bolivia,19,,,M,Athletics,Men's 100m,,,,
Gerard Kobeane,Burkina Faso,24,179,74,M,Athletics,Men's 100m,,,,
Idrissa Adam,Cameroon,27,178,79,M,Athletics,Men's 100m,,,,
Kemar Hyman,Cayman Islands,22,178,74,M,Athletics,Men's 100m,,,,
Berenger Aymard Bosse,Central African Republic,27,,,M,Athletics,Men's 100m,,,,
Abdouraim Haroun,Chad,20,174,72,M,Athletics,Men's 100m,,,,
Isidro Montoya,Colombia,21,176,68,M,Athletics,Men's 100m,,,,
Devilert Arsene Kimbembe,Congo,27,171,,M,Athletics,Men's 100m,,,,
Patrick Tuara,Cook Islands,19,168,79,M,Athletics,Men's 100m,,,,
John Howard,Federated States of Micronesia,31,173,78,M,Athletics,Men's 100m,,,,
Wilfried Bingangoye,Gabon,27,,,M,Athletics,Men's 100m,,,,
Suwaibou Sanneh,Gambia,21,165,80,M,Athletics,Men's 100m,,,,
Paul Williams,Grenada,26,,,M,Athletics,Men's 100m,,,,
Holder da Silva,Guinea-Bissau,24,181,75,M,Athletics,Men's 100m,,,,
Jeremy Bascom,Guyana,28,170,73,M,Athletics,Men's 100m,,,,
Fernando Lumain,Indonesia,22,183,76,M,Athletics,Men's 100m,,,,
Nooa Takooa,Kiribati,19,160,67,M,Athletics,Men's 100m,,,,
Kilakone Siphonexay,Lao People's Democratic Republic,23,168,63,M,Athletics,Men's 100m,,,,
Rytis Sakalauskas,Lithuania,25,185,83,M,Athletics,Men's 100m,,,,
Azneem Ahmed,Maldives,23,169,65,M,Athletics,Men's 100m,,,,
Rachid Chouhal,Malta,37,178,80,M,Athletics,Men's 100m,,,,
Timi Garstang,Marshall Islands,25,175,73,M,Athletics,Men's 100m,,,,
Fabrice Coiffic,Mauritius,27,168,73,M,Athletics,Men's 100m,,,,
Tilak Ram Tharu,Nepal,19,168,72,M,Athletics,Men's 100m,,,,
Obinna Metu,Nigeria,24,189,76,M,Athletics,Men's 100m,,,,
Ogho-Oghene Egwero,Nigeria,23,152,64,M,Athletics,Men's 100m,,,,
Peter Emelieze,Nigeria,24,170,65,M,Athletics,Men's 100m,,,,
Barakat Mubarak Al-Harthi,Oman,24,171,67,M,Athletics,Men's 100m,,,,
Liaqat Ali,Pakistan,28,,,M,Athletics,Men's 100m,,,,
Rodman Teltull,Palau,18,170,57,M,Athletics,Men's 100m,,,,
Miguel Lopez,Puerto Rico,22,,,M,Athletics,Men's 100m,,,,
Christopher Lima da Costa,Sao Tome and Principe,24,175,62,M,Athletics,Men's 100m,,,,
Foo Ee Yeo,Singapore,25,171,64,M,Athletics,Men's 100m,,,,
Chris Meke Walasi,Solomon Islands,32,,,M,Athletics,Men's 100m,,,,
Angel David Rodriguez,Spain,32,178,73,M,Athletics,Men's 100m,,,,
Courtney Carl Williams,St Vincent and the Grenadines,21,183,82,M,Athletics,Men's 100m,,,,
Jurgen Themen,Suriname,26,172,75,M,Athletics,Men's 100m,,,,
Joseph Andy Lui,Tonga,20,,,M,Athletics,Men's 100m,,,,
Tavevele Noa,Tuvalu,20,176,74,M,Athletics,Men's 100m,,,,
J'maal Alexander,"Virgin Islands, British",18,,,M,Athletics,Men's 100m,,,,
Gerald Phiri,Zambia,23,178,80,M,Athletics,Men's 100m,,,,
Daniel Bailey,Antigua and Barbuda,25,179,68,M,Athletics,"Men's 100m, Men's 200m",,,,
Ben Youssef Meite,C̫te d'Ivoire,25,180,84,M,Athletics,"Men's 100m, Men's 200m",,,,
Amr Ibrahim Mostafa Seoud,Egypt,26,180,73,M,Athletics,"Men's 100m, Men's 200m",,,,
Marek Niit,Estonia,24,182,82,M,Athletics,"Men's 100m, Men's 200m",,,,
Aziz Ouhadi,Morocco,28,168,72,M,Athletics,"Men's 100m, Men's 200m",,,,
Jaysuma Saidy Ndure,Norway,28,,,M,Athletics,"Men's 100m, Men's 200m",,,,
Usain Bolt,Jamaica,25,196,93,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",YES,2,,
Yohan Blake,Jamaica,22,180,76,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",YES,,2,
Churandy Martina,Netherlands,28,178,74,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,
Antoine Adams,Saint Kitts and Nevis,23,180,79,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,
Kim Collins,Saint Kitts and Nevis,36,173,66,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,
Rondel Sorrillo,Trinidad and Tobago,26,172,64,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,
Nilson Andre,Brazil,26,172,70,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Justyn Warner,Canada,25,177,79,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Jimmy Vicaut,France,20,184,76,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Adam Gemili,Great Britain,18,,,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Dwain Chambers,Great Britain,34,,,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
James Dasaolu,Great Britain,24,186,87,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Asafa Powell,Jamaica,29,175,78,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Michael Frater,Jamaica,29,175,75,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Ryota Yamagata,Japan,20,176,67,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Dariusz Kuc,Poland,26,176,73,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Jason Rogers,Saint Kitts and Nevis,20,173,69,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Keston Bledman,Trinidad and Tobago,24,180,88,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Marc Burns,Trinidad and Tobago,29,185,88,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Richard Thompson,Trinidad and Tobago,27,167,77,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Justin Gatlin,United States of America,30,185,83,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",YES,,,1
Ryan Bailey,United States of America,23,193,98,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Tyson Gay,United States of America,29,178,77,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Shamar Sands,Bahamas,27,,,M,Athletics,Men's 110m Hurdles,,,,
Greggmar Swift,Barbados,21,183,68,M,Athletics,Men's 110m Hurdles,,,,
Ryan Brathwaite,Barbados,24,185,77,M,Athletics,Men's 110m Hurdles,,,,
Shane Brathwaite,Barbados,22,182,77,M,Athletics,Men's 110m Hurdles,,,,
Maksim Lynsha,Belarus,27,190,80,M,Athletics,Men's 110m Hurdles,,,,
Adrien Deghelt,Belgium,27,185,77,M,Athletics,Men's 110m Hurdles,,,,
Ronald Forbes,Cayman Islands,27,192,93,M,Athletics,Men's 110m Hurdles,,,,
Paulo Villar,Colombia,34,183,73,M,Athletics,Men's 110m Hurdles,,,,
Orlando Ortega,Cuba,21,,,M,Athletics,Men's 110m Hurdles,,,,
Dimitri Bascou,France,25,182,72,M,Athletics,Men's 110m Hurdles,,,,
Garfield Darien,France,24,190,80,M,Athletics,Men's 110m Hurdles,,,,
Ladji Doucoure,France,29,186,78,M,Athletics,Men's 110m Hurdles,,,,
David Ilariani,Georgia,31,195,87,M,Athletics,Men's 110m Hurdles,,,,
Alexander John,Germany,26,185,82,M,Athletics,Men's 110m Hurdles,,,,
Erik Balnuweit,Germany,23,189,80,M,Athletics,Men's 110m Hurdles,,,,
Matthias Buhler,Germany,25,189,77,M,Athletics,Men's 110m Hurdles,,,,
Andrew Pozzi,Great Britain,20,190,78,M,Athletics,Men's 110m Hurdles,,,,
Lawrence Clarke,Great Britain,22,187,78,M,Athletics,Men's 110m Hurdles,,,,
Konstadinos Douvalidis,Greece,25,184,78,M,Athletics,Men's 110m Hurdles,,,,
Jeffrey Julmis,Haiti,24,,,M,Athletics,Men's 110m Hurdles,,,,
