Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Botswana,BWA,1377912,1728340,1914414,1946351,1979882,2014866,2051339,2089315,2128507,2168573,2209197,2250260
"Population, total",SP.POP.TOTL,Brazil,BRA,149352145,175287587,191026637,192979029,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,16461,20645,24731,25604,26447,27224,27901,28509,29056,29588,30113,30661
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,258785,333241,374864,379252,383772,388662,394013,399748,405716,411704,417542,423196
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,8811034,11607942,14252021,14689726,15141099,15605217,16081904,16571216,17072723,17585977,18110624,18646433
"Population, total",SP.POP.TOTL,Burundi,BDI,5415415,6400706,7939573,8212264,8489031,8766930,9043508,9319710,9600186,9891790,10199270,10524117
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,341883,435079,486438,491723,496963,502384,508067,513979,520106,526437,532913,539560
"Population, total",SP.POP.TOTL,Cambodia,KHM,8973342,12152354,13676693,13880509,14090208,14308740,14537886,14776866,15022692,15270790,15517635,15762370
"Population, total",SP.POP.TOTL,Cameroon,CMR,11715218,15274234,18395389,18907008,19432541,19970495,20520447,21082383,21655715,22239904,22834522,23439189
"Population, total",SP.POP.TOTL,Canada,CAN,27791000,30769700,32887928,33245773,33628571,34005274,34342780,34750545,35155451,35544564,35848610,36286425
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,25010,41687,51483,52926,54279,55507,56579,57523,58371,59172,59963,60765
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2939780,3754986,4275800,4345386,4404230,4448525,4476153,4490416,4499653,4515392,4546100,4594621
"Population, total",SP.POP.TOTL,Chad,TCD,5956859,8342559,10775708,11133861,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140671,148725,156513,157581,158603,159581,160497,161358,162180,162969,163758,164541
"Population, total",SP.POP.TOTL,Chile,CHL,13242132,15262754,16491687,16661942,16829442,16993354,17153357,17309746,17462982,17613798,17762681,17909754
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000
"Population, total",SP.POP.TOTL,Colombia,COL,34271565,40403958,44374572,44901544,45416181,45918097,46406646,46881475,47342981,47791911,48228697,48653419
"Population, total",SP.POP.TOTL,Comoros,COM,411594,542357,641620,657229,673252,689692,706569,723868,741500,759385,777424,795601
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,34614581,47076387,58417562,60373608,62409435,64523263,66713597,68978682,71316033,73722860,76196619,78736153
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2440457,3225727,3976246,4115435,4253712,4386693,4512730,4633363,4751393,4871101,4995648,5125821
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3095995,3925443,4369469,4429508,4488263,4545280,4600474,4654122,4706401,4757575,4807852,4857274
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,12267754,16686561,19085941,19497986,19936366,20401331,20895311,21418603,21966312,22531350,23108472,23695919
"Population, total",SP.POP.TOTL,Croatia,HRV,4780000,4426000,4436000,4434508,4429078,4417781,4280622,4267558,4255689,4238389,4203604,4170600
"Population, total",SP.POP.TOTL,Cuba,CUB,10582081,11150736,11303687,11309754,11318602,11333051,11354651,11382146,11412167,11439767,11461432,11475982
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,133860,144056,145880,146833,148703,150831,152088,153822,155909,157979,159999
"Population, total",SP.POP.TOTL,Cyprus,CYP,766614,943286,1063712,1081563,1098076,1112607,1124835,1135062,1143896,1152309,1160985,1170125
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10333355,10255063,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10561633
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5731118
"Population, total",SP.POP.TOTL,Djibouti,DJI,590398,717584,809402,822934,836840,851146,865937,881185,896688,912164,927414,942333
"Population, total",SP.POP.TOTL,Dominica,DMA,70926,69676,70950,71074,71229,71440,71718,72044,72400,72778,73162,73543
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,7183647,8562622,9504353,9636520,9767758,9897985,10027095,10154950,10281296,10405844,10528394,10648791
"Population, total",SP.POP.TOTL,Ecuador,ECU,10218091,12628596,14205453,14447562,14691275,14934690,15177355,15419666,15661547,15903112,16144368,16385068
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,57412215,69905988,79537253,80953881,82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681
"Population, total",SP.POP.TOTL,El Salvador,SLV,5254984,5867626,6083475,6110301,6137276,6164626,6192560,6221246,6250777,6281189,6312478,6344722
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,426846,614323,829327,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490
"Population, total",SP.POP.TOTL,Eritrea,ERI,3113311,3392801,4153332,4232636,4310334,4390840,4474690,..,..,..,..,..
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1316481
"Population, total",SP.POP.TOTL,Ethiopia,ETH,48086516,66537331,81000409,83184892,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47594,47258,48448,48485,48517,48550,48608,48666,48747,48842,48965,49117
"Population, total",SP.POP.TOTL,Fiji,FJI,728628,811223,834812,843340,851967,859950,867086,873596,879715,885806,892149,898760
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495096
"Population, total",SP.POP.TOTL,France,FRA,58512808,60912498,64016229,64374990,64707044,65027512,65342776,65659790,65998570,66331957,66624068,66896109
"Population, total",SP.POP.TOTL,French Polynesia,PYF,198375,237258,260594,263179,265581,267820,269843,271703,273528,275484,277690,280208
"Population, total",SP.POP.TOTL,Gabon,GAB,952212,1231122,1489193,1536411,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,916808,1231844,1539116,1588572,1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501
