Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Libya,LBY,4436661,5355751,5970362,6053078,6121053,6169140,6193501,6198258,6195970,6204108,6234955,6293253
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,28747,33286,35322,35541,35766,36003,36264,36545,36834,37127,37403,37666
"Population, total",SP.POP.TOTL,Lithuania,LTU,3697838,3499536,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2872298
"Population, total",SP.POP.TOTL,Luxembourg,LUX,381850,436300,479993,488650,497783,506953,518347,530946,543360,556319,569604,582972
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,343935,427979,503823,514348,525313,536969,549439,562531,575841,588781,600942,612167
"Population, total",SP.POP.TOTL,"Macedonia, FYR",MKD,1996228,2034819,2065458,2067378,2069093,2070739,2072383,2074036,2075739,2077495,2079308,2081206
"Population, total",SP.POP.TOTL,Madagascar,MDG,11598633,15766806,19433523,19996469,20569121,21151640,21743949,22346573,22961146,23589801,24234088,24894551
"Population, total",SP.POP.TOTL,Malawi,MWI,9437553,11376172,13840969,14271234,14714602,15167095,15627618,16097305,16577147,17068838,17573607,18091575
"Population, total",SP.POP.TOTL,Malaysia,MYS,18038321,23185608,26625845,27111069,27605383,28112289,28635128,29170456,29706724,30228017,30723155,31187265
"Population, total",SP.POP.TOTL,Maldives,MDV,218000,286000,349000,362000,360000,367000,377000,385000,393000,401000,409163,417492
"Population, total",SP.POP.TOTL,Mali,MLI,8465188,10967690,13675606,14138216,14606597,15075085,15540989,16006670,16477818,16962846,17467905,17994837
"Population, total",SP.POP.TOTL,Malta,MLT,354170,390087,406724,409379,412477,414508,416268,419455,423374,427364,431874,436947
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,47298,52159,52137,52218,52320,52425,52542,52663,52793,52898,52994,53066
"Population, total",SP.POP.TOTL,Mauritania,MRT,2030140,2709359,3312665,3407541,3506288,3609543,3717672,3830239,3946170,4063920,4182341,4301018
"Population, total",SP.POP.TOTL,Mauritius,MUS,1058775,1186873,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473
"Population, total",SP.POP.TOTL,Mexico,MEX,85357874,101719673,111836346,113661809,115505228,117318941,119090017,120828307,122535969,124221600,125890949,127540423
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,96331,107432,105078,104478,103960,103616,103468,103503,103702,104015,104433,104937
"Population, total",SP.POP.TOTL,Moldova,MDA,3696000,3639592,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3552000
"Population, total",SP.POP.TOTL,Monaco,MCO,29439,32082,35111,35853,36534,37094,37497,37783,37971,38132,38307,38499
"Population, total",SP.POP.TOTL,Mongolia,MNG,2184145,2397436,2591670,2628131,2668289,2712650,2761516,2814226,2869107,2923896,2976877,3027398
"Population, total",SP.POP.TOTL,Montenegro,MNE,606372,604950,615875,616969,618294,619428,620079,620601,621207,621810,622159,622781
"Population, total",SP.POP.TOTL,Morocco,MAR,24879136,28849621,31225881,31596855,31989897,32409639,32858823,33333789,33824769,34318082,34803322,35276786
"Population, total",SP.POP.TOTL,Mozambique,MOZ,13247649,18067687,22188387,22846758,23524063,24221405,24939005,25676606,26434372,27212382,28010691,28829476
"Population, total",SP.POP.TOTL,Myanmar,MMR,40626250,46095462,49171586,49479752,49800690,50155896,50553031,50986514,51448196,51924182,52403669,52885223
"Population, total",SP.POP.TOTL,Namibia,NAM,1414692,1899257,2079915,2106375,2137040,2173170,2215621,2263934,2316520,2370992,2425561,2479713
"Population, total",SP.POP.TOTL,Nauru,NRU,9157,10042,10075,10047,10028,10025,10057,10279,10821,11853,12475,13049
"Population, total",SP.POP.TOTL,Nepal,NPL,18749406,23740911,26214847,26475859,26741103,27023137,27327147,27649925,27985310,28323241,28656282,28982771
"Population, total",SP.POP.TOTL,Netherlands,NLD,14951510,15925513,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17018408
"Population, total",SP.POP.TOTL,New Caledonia,NCL,170899,213230,238000,242000,245000,250000,254000,259000,263000,268000,273000,278000
"Population, total",SP.POP.TOTL,New Zealand,NZL,3329800,3857700,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700,4692700
"Population, total",SP.POP.TOTL,Nicaragua,NIC,4144565,5026796,5522106,5594506,5666581,5737723,5807820,5877108,5945747,6013997,6082035,6149928
"Population, total",SP.POP.TOTL,Niger,NER,8012861,11352973,14668338,15228525,15813913,16425578,17064636,17731634,18426372,19148219,19896965,20672987
"Population, total",SP.POP.TOTL,Nigeria,NGA,95269988,122352009,146417024,150347390,154402181,158578261,162877076,167297284,171829303,176460502,181181744,185989640
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,42538,69094,59513,57431,55674,54424,53786,53718,54036,54468,54816,55023
"Population, total",SP.POP.TOTL,Norway,NOR,4241473,4490967,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5232929
"Population, total",SP.POP.TOTL,Oman,OMN,1812160,2267991,2662762,2759014,2882942,3041460,3237268,3464644,3711481,3960925,4199810,4424762
"Population, total",SP.POP.TOTL,Pakistan,PAK,107678614,138523285,160332974,163644603,167049580,170560182,174184265,177911533,181712595,185546257,189380513,193203476
"Population, total",SP.POP.TOTL,Palau,PLW,15088,19175,20116,20228,20342,20470,20599,20758,20920,21094,21288,21503
"Population, total",SP.POP.TOTL,Panama,PAN,2471009,3030347,3453807,3516268,3579385,3643222,3707782,3772938,3838462,3903986,3969249,4034119
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,4313059,5572222,6627922,6787187,6947447,7108239,7269348,7430836,7592865,7755785,7919825,8084991
"Population, total",SP.POP.TOTL,Paraguay,PRY,4213742,5302700,5966159,6047117,6127837,6209877,6293783,6379219,6465740,6552584,6639119,6725308
"Population, total",SP.POP.TOTL,Peru,PER,21826658,25914879,28292724,28641980,29001507,29373646,29759989,30158966,30565716,30973354,31376671,31773839
"Population, total",SP.POP.TOTL,Philippines,PHL,61947348,77991569,89293490,90751864,92220879,93726624,95277940,96866642,98481032,100102249,101716359,103320222
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38258629,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37948016
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,10289898,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10324611
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3537000,3810605,3782995,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473181,3411307
"Population, total",SP.POP.TOTL,Qatar,QAT,476445,592267,1189633,1389342,1590780,1779676,1952054,2109568,2250473,2374419,2481539,2569804
"Population, total",SP.POP.TOTL,Romania,ROU,23201835,22442971,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815481,19705301
"Population, total",SP.POP.TOTL,Russian Federation,RUS,148292000,146596557,142805088,142742350,142785342,142849449,142960868,143201676,143506911,143819666,144096870,144342396
"Population, total",SP.POP.TOTL,Rwanda,RWA,7235798,8025703,9447402,9708169,9977446,10246842,10516071,10788853,11065151,11345357,11629553,11917508
"Population, total",SP.POP.TOTL,Samoa,WSM,162866,174610,182286,183526,184826,186205,187665,189194,190757,192290,193759,195125
"Population, total",SP.POP.TOTL,San Marino,SMR,24043,27418,29977,30351,30723,31110,31504,31914,32303,32657,32960,33203
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,113893,138606,163101,166913,170813,174776,178800,182889,187045,191266,195553,199910
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,16326815,20764312,25252569,25940770,26661492,27425676,28238020,29086357,29944476,30776722,31557144,32275687
"Population, total",SP.POP.TOTL,Senegal,SEN,7555617,9884052,11873557,12203957,12550917,12916229,13300910,13703513,14120320,14546111,14976994,15411614
"Population, total",SP.POP.TOTL,Serbia,SRB,7586000,7516346,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7057412
"Population, total",SP.POP.TOTL,Seychelles,SYC,69507,81131,85033,86956,87298,89770,87441,88303,89949,91359,93419,94677
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,4312246,4564297,6015417,6165372,6310260,6458720,6611692,6766103,6922079,7079162,7237025,7396190
"Population, total",SP.POP.TOTL,Singapore,SGP,3047132,4027887,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,..,30519,39462,40458,39133,35474,33435,34640,36607,37685,38824,40005
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5428704
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2064845
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,311840,412609,492940,504477,516079,527790,539614,551531,563513,575504,587482,599419
"Population, total",SP.POP.TOTL,Somalia,SOM,7397347,9011479,11038596,11369276,11707990,12053223,12404725,12763776,13132349,13513125,13908129,14317996
"Population, total",SP.POP.TOTL,South Africa,ZAF,36793490,44896856,48883844.9909288,49557573.2955342,50255813.1102008,50979432.3622277,51729345.3578159,52506515.0772335,53311955.6100823,54146734.739162,55011976.6820294,55908865
"Population, total",SP.POP.TOTL,South Sudan,SSD,5768481,6700656,8856800,9263136,9670667,10067192,10448857,10818258,11177490,11530971,11882136,12230730
"Population, total",SP.POP.TOTL,Spain,ESP,38867322,40567864,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46447697,46443959
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,17078000,18655000,19668000,19817000,19968000,20119000,20271000,20425000,20585000,20771000,20966000,21203000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40834,45374,49783,50332,50886,51445,52006,52591,53169,53739,54288,54821
"Population, total",SP.POP.TOTL,St. Lucia,LCA,138185,156949,167288,169220,171022,172580,173832,174835,175660,176421,177206,178015
